objectCount,operationTimeMs,heapUsedMB,heapMaxMB
288,8.082,76,4026
289,16.673,76,4026
290,15.725,77,4026
291,5.779,78,4026
292,6.982,78,4026
293,8.319,79,4026
294,5.719,79,4026
295,6.510,80,4026
296,5.985,81,4026
297,5.416,81,4026
298,8.076,30,4026
299,5.916,30,4026
300,6.435,31,4026
301,6.551,32,4026
302,4.931,32,4026
303,7.294,33,4026
304,5.338,34,4026
305,9.071,34,4026
306,7.084,35,4026
307,6.225,35,4026
308,5.979,36,4026
309,5.400,36,4026
310,15.154,37,4026
311,5.136,38,4026
312,15.101,38,4026
313,5.859,39,4026
314,16.380,39,4026
315,7.573,40,4026
316,6.592,41,4026
317,5.727,41,4026
318,6.900,42,4026
319,8.048,45,4026
320,15.642,45,4026
321,5.180,46,4026
322,5.293,47,4026
323,5.912,47,4026
324,5.758,48,4026
325,16.719,48,4026
326,5.278,49,4026
327,5.410,50,4026
328,6.315,50,4026
329,5.693,51,4026
330,5.294,51,4026
331,4.980,52,4026
332,5.775,53,4026
333,5.964,53,4026
334,15.184,54,4026
335,8.852,54,4026
336,6.625,55,4026
337,5.860,55,4026
338,5.685,56,4026
339,14.929,57,4026
340,5.024,57,4026
341,14.936,58,4026
342,17.693,58,4026
343,7.005,59,4026
344,6.594,60,4026
345,6.406,60,4026
346,7.328,61,4026
347,5.621,61,4026
348,5.861,62,4026
349,6.844,62,4026
350,5.154,63,4026
351,7.088,64,4026
352,8.086,64,4026
353,6.920,65,4026
354,7.297,65,4026
355,7.508,66,4026
356,6.223,67,4026
357,6.574,67,4026
358,17.978,68,4026
359,9.420,68,4026
360,8.488,69,4026
361,8.086,70,4026
362,7.660,70,4026
363,7.198,71,4026
364,13.384,71,4026
365,6.960,72,4026
366,7.168,72,4026
367,6.894,73,4026
368,6.543,74,4026
369,6.531,74,4026
370,5.908,75,4026
371,7.748,75,4026
372,8.095,76,4026
373,7.860,77,4026
374,6.889,77,4026
375,7.244,78,4026
376,6.260,78,4026
377,9.760,79,4026
378,8.524,80,4026
379,7.987,80,4026
380,9.120,81,4026
381,7.929,81,4026
382,11.902,82,4026
383,9.583,31,4026
384,9.975,32,4026
385,7.839,32,4026
386,5.779,33,4026
387,6.148,33,4026
388,8.882,34,4026
389,7.505,35,4026
390,5.785,35,4026
391,5.826,36,4026
392,6.658,36,4026
393,6.186,37,4026
394,17.397,38,4026
395,5.333,38,4026
396,5.326,39,4026
397,7.106,39,4026
398,5.134,40,4026
399,5.987,40,4026
400,7.295,41,4026
401,6.783,42,4026
402,5.578,42,4026
403,6.876,43,4026
404,6.080,43,4026
405,5.487,44,4026
406,6.953,45,4026
407,6.693,45,4026
408,5.900,46,4026
409,5.990,46,4026
410,5.899,47,4026
411,6.313,48,4026
412,20.411,48,4026
413,6.460,49,4026
414,7.260,49,4026
415,5.727,50,4026
416,5.574,50,4026
417,15.698,52,4026
418,5.062,52,4026
419,5.628,53,4026
420,6.471,53,4026
421,5.803,54,4026
422,5.717,54,4026
423,5.758,55,4026
424,5.324,56,4026
425,19.796,56,4026
426,13.502,57,4026
427,11.660,57,4026
428,9.328,58,4026
429,10.024,59,4026
430,9.325,59,4026
431,10.447,60,4026
432,9.125,60,4026
433,9.293,61,4026
434,8.569,61,4026
435,16.641,62,4026
436,12.752,63,4026
437,7.984,63,4026
438,7.336,64,4026
439,5.679,64,4026
440,6.031,65,4026
441,4.975,66,4026
442,6.047,66,4026
443,5.783,67,4026
444,6.704,67,4026
445,7.922,68,4026
446,17.785,68,4026
447,6.597,72,4026
448,6.160,72,4026
449,8.496,73,4026
450,18.099,73,4026
451,7.380,74,4026
452,9.917,75,4026
453,8.463,75,4026
454,19.439,76,4026
455,7.375,76,4026
456,18.887,77,4026
457,7.363,77,4026
458,8.424,78,4026
459,6.460,79,4026
460,5.297,79,4026
461,7.985,80,4026
462,7.352,80,4026
463,7.726,81,4026
464,5.667,82,4026
465,5.504,82,4026
466,5.294,83,4026
467,5.565,83,4026
468,5.531,31,4026
469,6.083,31,4026
470,5.411,32,4026
471,17.212,33,4026
472,15.942,33,4026
473,4.919,34,4026
474,4.870,35,4026
475,6.232,35,4026
476,5.176,36,4026
477,6.325,36,4026
478,4.578,37,4026
479,5.860,37,4026
480,15.664,38,4026
481,4.635,39,4026
482,4.509,39,4026
483,15.090,40,4026
484,4.867,40,4026
485,4.099,41,4026
486,5.388,41,4026
487,5.758,42,4026
