objectCount,operationTimeMs,heapUsedMB,heapMaxMB
288,3.285,83,3656
289,3.493,84,3656
290,3.217,84,3656
291,3.142,85,3656
292,3.505,85,3656
293,3.295,86,3656
294,3.279,86,3656
295,3.163,87,3656
296,3.117,87,3656
297,3.172,88,3656
298,2.844,89,3656
299,2.890,89,3656
300,2.978,90,3656
301,3.328,90,3656
302,3.126,91,3656
303,3.349,91,3656
304,3.443,92,3656
305,3.046,93,3656
306,3.234,93,3656
307,3.967,94,3656
308,3.821,94,3656
309,4.287,95,3656
310,3.244,95,3656
311,3.035,96,3656
312,2.951,96,3656
313,2.844,97,3656
314,3.017,98,3656
315,3.464,98,3656
316,3.294,99,3656
317,3.491,99,3656
318,3.359,100,3656
319,3.014,100,3656
320,3.001,101,3656
321,3.614,101,3656
322,3.718,102,3656
323,3.743,102,3656
324,3.383,103,3656
325,3.248,104,3656
326,3.110,104,3656
327,3.092,105,3656
328,3.227,105,3656
329,3.074,106,3656
330,3.995,106,3656
331,2.947,109,3656
332,5.218,110,3656
333,4.086,111,3656
334,3.798,111,3656
335,3.667,112,3656
336,4.015,112,3656
337,3.690,113,3656
338,3.516,113,3656
339,3.022,114,3656
340,3.101,114,3656
341,3.057,115,3656
342,3.854,115,3656
343,3.047,116,3656
344,3.625,117,3656
345,2.852,117,3656
346,2.979,118,3656
347,3.015,118,3656
348,2.909,119,3656
349,2.847,119,3656
350,3.033,120,3656
351,2.939,121,3656
352,3.039,121,3656
353,3.248,122,3656
354,3.392,122,3656
355,4.833,123,3656
356,4.008,123,3656
357,3.883,124,3656
358,3.752,124,3656
359,4.873,125,3656
360,3.797,126,3656
361,3.278,126,3656
362,3.984,127,3656
363,3.029,127,3656
364,3.481,128,3656
365,3.018,128,3656
366,2.683,129,3656
367,3.855,129,3656
368,3.109,130,3656
369,3.245,131,3656
370,3.141,131,3656
371,2.927,132,3656
372,3.578,132,3656
373,3.224,133,3656
374,3.129,133,3656
375,3.481,134,3656
376,3.436,134,3656
377,3.811,135,3656
378,2.993,135,3656
379,3.188,136,3656
380,2.983,38,3656
381,4.020,38,3656
382,5.451,39,3656
383,3.498,39,3656
384,3.181,40,3656
385,2.781,40,3656
386,2.893,41,3656
387,3.315,42,3656
388,3.224,42,3656
389,3.308,43,3656
390,4.010,43,3656
391,3.186,44,3656
392,3.155,44,3656
393,3.337,45,3656
394,3.158,45,3656
395,3.519,49,3656
396,7.308,49,3656
397,5.238,50,3656
398,3.800,50,3656
399,3.496,51,3656
400,3.303,51,3656
401,2.996,52,3656
402,3.359,52,3656
403,3.389,53,3656
404,3.065,54,3656
405,4.818,54,3656
406,3.301,55,3656
407,6.959,55,3656
408,5.117,56,3656
409,5.315,56,3656
410,3.651,57,3656
411,3.104,57,3656
412,3.278,58,3656
413,4.096,59,3656
414,3.018,59,3656
415,2.900,60,3656
416,3.330,60,3656
417,3.094,61,3656
418,3.112,61,3656
419,3.131,62,3656
420,3.294,62,3656
421,3.410,63,3656
422,3.460,64,3656
423,3.733,64,3656
424,3.561,65,3656
425,3.478,65,3656
426,5.265,66,3656
427,3.442,66,3656
428,4.170,67,3656
429,3.015,67,3656
430,3.463,68,3656
431,2.801,68,3656
432,3.110,69,3656
433,3.921,70,3656
434,3.399,70,3656
435,3.060,71,3656
436,3.513,71,3656
437,2.901,72,3656
438,2.977,72,3656
439,4.346,73,3656
440,4.713,73,3656
441,3.952,74,3656
442,3.485,75,3656
443,3.238,75,3656
444,2.990,76,3656
445,5.168,76,3656
446,4.359,77,3656
447,3.394,77,3656
448,3.746,78,3656
449,3.277,78,3656
450,3.498,79,3656
451,6.458,80,3656
452,5.515,80,3656
453,4.059,81,3656
454,3.832,81,3656
455,3.143,82,3656
456,3.356,82,3656
457,3.501,83,3656
458,3.186,83,3656
459,5.537,87,3656
460,5.251,87,3656
461,3.556,88,3656
462,3.579,88,3656
463,3.696,89,3656
464,3.024,89,3656
465,3.299,90,3656
466,3.081,90,3656
467,3.757,91,3656
468,2.972,92,3656
469,3.074,92,3656
470,3.959,93,3656
471,3.621,93,3656
472,3.054,94,3656
473,3.065,94,3656
474,2.944,95,3656
475,3.378,95,3656
476,3.111,96,3656
477,3.063,96,3656
478,4.125,97,3656
479,3.562,98,3656
480,7.117,98,3656
481,4.086,99,3656
482,4.322,99,3656
483,3.250,100,3656
484,4.983,100,3656
485,3.298,101,3656
486,2.976,101,3656
487,3.081,102,3656
488,3.009,103,3656
489,3.280,103,3656
490,4.797,104,3656
491,3.357,104,3656
492,3.199,105,3656
493,4.658,105,3656
494,3.830,106,3656
495,3.215,106,3656
496,3.552,107,3656
497,3.084,108,3656
498,2.556,108,3656
499,3.606,109,3656
